Milestone,Semana (inicio),Semana (fin),Autor,Commits,PRs fusionados,Revisiones unicas por PR
Weekly  #2 Jueves 19,2026-03-12,2026-03-19,BraulioTelloMancilla,1,0,0
Weekly  #2 Jueves 19,2026-03-12,2026-03-19,IvanChiPolanco,1,0,0
Weekly  #2 Jueves 19,2026-03-12,2026-03-19,KERMITH79,1,0,0
Weekly  #2 Jueves 19,2026-03-12,2026-03-19,Killercrod,12,0,0
Weekly  #2 Jueves 19,2026-03-12,2026-03-19,jsrangel666,1,0,0
Weekly #1 Jueves 12,2026-03-05,2026-03-12,BraulioTelloMancilla,1,0,0
Weekly #1 Jueves 12,2026-03-05,2026-03-12,JonEsp87,7,0,0
Weekly #1 Jueves 12,2026-03-05,2026-03-12,KERMITH79,9,0,0
Weekly #1 Jueves 12,2026-03-05,2026-03-12,Killercrod,15,0,0
Weekly #3 Jueves 26,2026-03-19,2026-03-26,BraulioTelloMancilla,3,0,0
Weekly #3 Jueves 26,2026-03-19,2026-03-26,IvanChiPolanco,10,0,0
Weekly #3 Jueves 26,2026-03-19,2026-03-26,JonEsp87,1,0,0
Weekly #3 Jueves 26,2026-03-19,2026-03-26,KERMITH79,3,0,0
Weekly #3 Jueves 26,2026-03-19,2026-03-26,Killercrod,42,0,0
Weekly#4,2026-03-24,2026-03-31,BraulioTelloMancilla,1,0,0
Weekly#4,2026-03-24,2026-03-31,IvanChiPolanco,1,0,0
Weekly#4,2026-03-24,2026-03-31,KERMITH79,1,0,0
Weekly#4,2026-03-24,2026-03-31,Killercrod,7,0,0
Weekly#4,2026-03-24,2026-03-31,jsrangel666,3,0,0
